x-axis uhAmerican(y=x) uheEuropean(y=x)
0 40 39.14
1 38.9983 37.7542
2 37.9982 36.3683
3 36.999 34.9825
4 35.9996 33.5944
5 34.9984 32.2033
6 33.9989 30.8121
7 32.9984 29.4222
8 31.9982 28.0356
9 30.998 26.6489
10 29.9975 25.2614
11 28.9984 23.8772
12 27.9978 22.4919
13 26.9974 21.1104
14 25.9993 19.7319
15 24.9991 18.3644
16 23.9985 17.0079
17 22.997 15.6764
18 21.9997 14.3672
19 20.9995 13.0856
20 19.9984 11.8404
21 18.9987 10.6463
22 17.9981 9.50901
23 16.9973 8.42822
24 15.9981 7.41049
25 14.9985 6.47059
26 13.9982 5.6053
27 12.9981 4.81852
28 11.9973 4.10906
29 10.9951 3.4736
30 9.99704 2.91746
31 8.99504 2.42902
32 7.99498 2.01182
33 6.9975 1.65158
34 5.99832 1.34766
35 4.99896 1.08838
36 3.99791 0.875825
37 2.9959 0.700888
38 2.04817 0.556668
39 1.47193 0.443542
40 1.08291 0.349123
41 0.804779 0.275042
42 0.601685 0.216125
43 0.451145 0.170664
44 0.338761 0.132681
45 0.2544 0.103997
46 0.191585 0.0821657
47 0.143092 0.0680508
48 0.108134 0.053936
49 0.0810721 0.0398211
50 0.0609759 0.0327709
51 0.0453202 0.0277646
52 0.0343502 0.0227582
53 0.0251061 0.0177518
54 0.0192667 0.0131615
55 0.0139395 0.0107898
56 0.0106103 0.00841813
57 0.00839349 0.00731112
58 0.00601497 0.00648474
59 0.00420523 0.00565836
60 0.00354929 0.00483198
61 0.00289334 0.0040056
62 0.00223739 0.00317922
63 0.00158144 0.00235284
64 0.000907886 0.0016413
65 0.000781288 0.00120938
66 0.000651513 0.00112875
67 0.000521739 0.00104813
68 0.000391964 0.000967503
69 0.00026219 0.000886878
70 0.000132415 0.000806252
71 9.92984e-05 0.000725627
72 8.82652e-05 0.000645002
73 7.72321e-05 0.000564377
74 6.61989e-05 0.000483751
75 5.51658e-05 0.000403126
76 4.41326e-05 0.000322501
77 3.30995e-05 0.000241876
78 2.20663e-05 0.00016125
79 1.10332e-05 8.06252e-05
