x-axis uhAmerican(y=x) uheEuropean(y=x)
0 40 39.1301
1 38.9978 37.7401
2 37.9961 36.3501
3 36.9983 34.9601
4 35.9991 33.5708
5 34.9994 32.1808
6 33.9981 30.7897
7 32.9975 29.3986
8 31.9992 28.0083
9 30.999 26.6155
10 29.9984 25.2227
11 28.9981 23.8323
12 27.998 22.4464
13 26.9984 21.0568
14 25.9981 19.6834
15 24.9963 18.3119
16 23.9961 16.9568
17 22.9984 15.6217
18 21.9993 14.3117
19 20.9978 13.0296
20 19.9969 11.7944
21 18.9979 10.5977
22 17.998 9.45387
23 16.9958 8.37838
24 15.9954 7.37296
25 14.9954 6.43107
26 13.9963 5.56956
27 12.994 4.78383
28 11.9974 4.08143
29 10.997 3.45029
30 9.99745 2.8971
31 8.99729 2.41199
32 7.99335 1.99992
33 6.99794 1.6419
34 5.99649 1.33743
35 4.99629 1.08433
36 3.99739 0.873013
37 2.99734 0.702177
38 2.04899 0.561136
39 1.47237 0.446666
40 1.08325 0.350504
41 0.804912 0.275043
42 0.601321 0.219197
43 0.450206 0.170864
44 0.337137 0.137251
45 0.252128 0.106107
46 0.190047 0.084395
47 0.142231 0.0644548
48 0.107476 0.0519455
49 0.0808377 0.0401215
50 0.0608551 0.0287759
51 0.0459353 0.0249658
52 0.0339599 0.021577
53 0.0263086 0.0181882
54 0.0187475 0.0147994
55 0.0149825 0.0114105
56 0.0112662 0.00802172
57 0.00778092 0.00597661
58 0.00607193 0.00541912
59 0.00447067 0.00486162
60 0.00324833 0.00430413
61 0.00266776 0.00368979
62 0.00208719 0.00306058
63 0.00150662 0.00243136
64 0.000924414 0.00180215
65 0.00073493 0.00143116
66 0.000597966 0.00133574
67 0.000461002 0.00124033
68 0.000324038 0.00114492
69 0.000194237 0.00104951
70 0.000131125 0.000954104
71 0.000116707 0.000858693
72 9.06387e-05 0.000763283
73 6.45702e-05 0.000667872
74 3.85017e-05 0.000572462
75 1.55984e-05 0.000477052
76 1.24787e-05 0.000381641
77 9.35904e-06 0.000286231
78 6.23936e-06 0.000190821
79 3.11968e-06 9.54104e-05
